Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
6/21/2018,AQS,371010002,1,0.039,ppm,36,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
6/22/2018,AQS,371010002,1,0.041,ppm,38,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
6/23/2018,AQS,371010002,1,0.04,ppm,37,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
6/24/2018,AQS,371010002,1,0.037,ppm,34,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
6/25/2018,AQS,371010002,1,0.043,ppm,40,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
6/26/2018,AQS,371010002,1,0.031,ppm,29,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
6/27/2018,AQS,371010002,1,0.038,ppm,35,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
6/28/2018,AQS,371010002,1,0.053,ppm,49,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
6/29/2018,AQS,371010002,1,0.054,ppm,50,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
6/30/2018,AQS,371010002,1,0.054,ppm,50,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
7/1/2018,AQS,371010002,1,0.044,ppm,41,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
7/2/2018,AQS,371010002,1,0.046,ppm,43,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
7/3/2018,AQS,371010002,1,0.048,ppm,44,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
7/4/2018,AQS,371010002,1,0.029,ppm,27,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
7/5/2018,AQS,371010002,1,0.034,ppm,31,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
7/6/2018,AQS,371010002,1,0.035,ppm,32,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
7/7/2018,AQS,371010002,1,0.029,ppm,27,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
7/8/2018,AQS,371010002,1,0.036,ppm,33,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
7/9/2018,AQS,371010002,1,0.048,ppm,44,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
7/10/2018,AQS,371010002,1,0.062,ppm,74,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
7/11/2018,AQS,371010002,1,0.065,ppm,84,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
7/12/2018,AQS,371010002,1,0.052,ppm,48,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
7/13/2018,AQS,371010002,1,0.06,ppm,67,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
7/14/2018,AQS,371010002,1,0.05,ppm,46,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
7/15/2018,AQS,371010002,1,0.049,ppm,45,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
7/16/2018,AQS,371010002,1,0.048,ppm,44,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
7/17/2018,AQS,371010002,1,0.043,ppm,40,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
7/18/2018,AQS,371010002,1,0.041,ppm,38,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
7/19/2018,AQS,371010002,1,0.059,ppm,64,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
7/20/2018,AQS,371010002,1,0.042,ppm,39,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
7/21/2018,AQS,371010002,1,0.041,ppm,38,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
7/22/2018,AQS,371010002,1,0.045,ppm,42,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
7/23/2018,AQS,371010002,1,0.046,ppm,43,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
7/24/2018,AQS,371010002,1,0.04,ppm,37,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
7/25/2018,AQS,371010002,1,0.039,ppm,36,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
7/26/2018,AQS,371010002,1,0.044,ppm,41,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
7/27/2018,AQS,371010002,1,0.041,ppm,38,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
7/28/2018,AQS,371010002,1,0.044,ppm,41,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
