Date,Source,Site ID,POC,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2018,AQS,530330030,1,0.4,ppm,5,Seattle-10th & Weller,19,79,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/2/2018,AQS,530330030,1,0.7,ppm,8,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/3/2018,AQS,530330030,1,0.7,ppm,8,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/4/2018,AQS,530330030,1,1.3,ppm,15,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/5/2018,AQS,530330030,1,1.1,ppm,13,Seattle-10th & Weller,18,75,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/6/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/7/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/8/2018,AQS,530330030,1,1,ppm,11,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/9/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/10/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,18,75,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/11/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/12/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/13/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/14/2018,AQS,530330030,1,0.9,ppm,10,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/15/2018,AQS,530330030,1,1.1,ppm,13,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/16/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/17/2018,AQS,530330030,1,0.8,ppm,9,Seattle-10th & Weller,18,75,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/18/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/19/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/20/2018,AQS,530330030,1,0.4,ppm,5,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/21/2018,AQS,530330030,1,0.4,ppm,5,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/22/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/23/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/24/2018,AQS,530330030,1,0.4,ppm,5,Seattle-10th & Weller,18,75,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/25/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/26/2018,AQS,530330030,1,0.4,ppm,5,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/27/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/28/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/29/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/30/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
1/31/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,18,75,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
2/1/2018,AQS,530330030,1,0.4,ppm,5,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
2/2/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
2/3/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
2/4/2018,AQS,530330030,1,0.4,ppm,5,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
2/5/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
2/6/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
2/7/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,18,75,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
2/8/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
2/9/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
2/10/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
2/11/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
2/12/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
2/13/2018,AQS,530330030,1,0.7,ppm,8,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
2/14/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,18,75,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
2/15/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
2/16/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
2/17/2018,AQS,530330030,1,0.4,ppm,5,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
2/18/2018,AQS,530330030,1,0.4,ppm,5,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
2/19/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
2/20/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
2/21/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,18,75,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
2/22/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
2/23/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
2/24/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
2/25/2018,AQS,530330030,1,0.4,ppm,5,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
2/26/2018,AQS,530330030,1,0.7,ppm,8,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
2/27/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
2/28/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,18,75,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
3/1/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
3/2/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
3/3/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
3/4/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
3/5/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
3/6/2018,AQS,530330030,1,0.4,ppm,5,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
3/7/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,18,75,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
3/8/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
3/9/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,19,79,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
3/10/2018,AQS,530330030,1,0.8,ppm,9,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
3/11/2018,AQS,530330030,1,0.9,ppm,10,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
3/12/2018,AQS,530330030,1,1,ppm,11,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
3/13/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
3/14/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,18,75,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
3/15/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
3/16/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
3/17/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
3/18/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
3/19/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
3/20/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
3/21/2018,AQS,530330030,1,0.8,ppm,9,Seattle-10th & Weller,18,75,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
3/22/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
3/23/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
3/24/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
3/25/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
3/26/2018,AQS,530330030,1,0.4,ppm,5,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
3/27/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
3/28/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,18,75,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
3/29/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
3/30/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
3/31/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
4/1/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
4/2/2018,AQS,530330030,1,0.4,ppm,5,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
4/3/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
4/4/2018,AQS,530330030,1,0.4,ppm,5,Seattle-10th & Weller,18,75,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
4/5/2018,AQS,530330030,1,0.7,ppm,8,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
4/6/2018,AQS,530330030,1,0.7,ppm,8,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
4/7/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
4/8/2018,AQS,530330030,1,0.4,ppm,5,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
4/9/2018,AQS,530330030,1,0.7,ppm,8,Seattle-10th & Weller,18,75,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
4/10/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
4/11/2018,AQS,530330030,1,0.4,ppm,5,Seattle-10th & Weller,16,67,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
4/12/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
4/13/2018,AQS,530330030,1,0.4,ppm,5,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
4/14/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
4/15/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
4/16/2018,AQS,530330030,1,0.4,ppm,5,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
4/17/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
4/18/2018,AQS,530330030,1,0.4,ppm,5,Seattle-10th & Weller,18,75,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
4/19/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
4/20/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
4/21/2018,AQS,530330030,1,0.4,ppm,5,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
4/22/2018,AQS,530330030,1,0.3,ppm,3,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
4/23/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
4/24/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
4/25/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,18,75,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
4/26/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,17,71,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
4/27/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
4/28/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
4/29/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
4/30/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
5/1/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
5/2/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,17,71,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
5/3/2018,AQS,530330030,1,0.7,ppm,8,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
5/4/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
5/5/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
5/6/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
5/7/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
5/8/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
5/9/2018,AQS,530330030,1,0.4,ppm,5,Seattle-10th & Weller,18,75,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
5/10/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
5/11/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
5/12/2018,AQS,530330030,1,0.4,ppm,5,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
5/13/2018,AQS,530330030,1,0.7,ppm,8,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
5/14/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
5/15/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
5/16/2018,AQS,530330030,1,0.4,ppm,5,Seattle-10th & Weller,18,75,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
5/17/2018,AQS,530330030,1,0.5,ppm,6,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
5/18/2018,AQS,530330030,1,0.6,ppm,7,Seattle-10th & Weller,24,100,42101,Carbon monoxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.597222,-122.319722
